Tag,Document IDs,Appearances,Occurrences,Section,Synonyms,n_Synonyms
Mislav Balunović,"[10497, 10499, 10503, 10128, 10515, 10516, 10517, 10013, 10271, 10016, 10272, 10170, 10427, 10429, 10437, 10438, 10447, 10192, 10450, 10452, 10202, 10461, 10080, 10464, 10466, 10469, 10479, 10096, 10098, 10229, 10102, 10489, 10234]",33,138,Tecno,"['Mislav Balunović', 'Florian Tramèr', 'Rafael Bretas', 'Berger', 'Iris', 'Yves Bonnefont', 'Brent Seales', 'Seales', 'Youssef Nader', 'Nat Friedman', 'Rick Riordan', 'Percy Jackson', 'Percy', 'Harry Potter', 'Eusebio Nieva', 'periodista Cecily Mauran', 'Mauran', 'Nickmercs', 'John Roberts', 'Nicholas Cumpsty', 'Roberts', 'Linda Yaccarino', 'Taylor Swift', 'San Francisco', 'Claude', 'Gloria Gaynor', 'Bryan Fuller', 'Hannibal', 'Victor Miller', 'Kevin Williamson', 'Adrienne King', 'Alice Hardy', 'Sean S. Cunningham', 'Pamela Vorhees', 'Jason', 'Fuller', 'Mark Gurman', 'Steve Jobs', 'Gurman', 'Tamra Davis', 'Van Toffler', 'Ann [ Carli', 'Davis', 'Zoe Saldana', 'Taryn Manning', 'Grey’s Anatomy', 'Ellen Pompeo', 'Meredith Grey', 'Bridgerton', 'John Carpenter', 'William Friedkin', 'premio Oscar', 'John Boorman', 'William Peter Blatty', 'Carpenter', 'Jason Miller', 'Damien Karras', 'Giuk Lee', 'Kaspar Althoefer', 'Queen Mary', 'Stephen King', 'Andy Muschietti', 'Tommy Lee Wallace', 'Tim Curry', 'Gary Sinise', 'Teniente Dan Forrest', 'Alexander Skarsgård', 'Bill Skarsgård', 'King', 'Christian Torpe', 'Spike', 'Mike Flanagan', 'Charlie Brooker', 'Jordan Peele', 'Cooper', 'Loch Henry', 'Steven Spielberg', 'Demian Rugna', 'Gonzalo Calzada', 'Aparicio', 'Feiling', 'Erica Rivas', 'Oscar', 'Cristian Ponce', 'Jason Blum', 'Todd McFarlane', 'McFarlane', 'Scott Silver', 'Malcolm Spellman', 'Ray Charles', 'Jamie Foxx', 'Jeremy Renner', 'Jonathan Nolan', 'Lisa Joy', 'Walton Goggins', 'Purnell', 'Kyle MacLachlan', 'Matthew Castellanos', 'Mike Ambs', 'Soni Bringas', 'Stephen Ruffin', 'Wes Anderson', 'Sam Raimi', 'Ed Krassenstein', 'Megan', 'Mike Schmidt', 'Josh Hutcherson', 'Emma Tammi', 'Tammi', 'enfoque Tammi', 'Savannah Badalich', 'Martin Scorsese', 'Leonardo DiCaprio', 'Lily Gladstone', 'Robert Niro', 'Scorsese', 'DiCaprio', 'Niro', 'Bob', 'William Hale', 'Ernest Burkhart', 'Rodrigo Prieto', 'Leo', 'Tim Cook', 'Emma Watson', 'Natalie Portman', 'Rosalía', 'Sophie Maddocks', 'Maddocks', 'Adam Mosseri', 'Chuck Norris', 'Norris', 'Lav Bodnaruk', 'Michael Pier', 'Isaac Gym']",135
Anthropic,"[10497, 10499, 10503, 10516, 10517, 10262, 10013, 10271, 10016, 10272, 10033, 10170, 10427, 10044, 10429, 10438, 10447, 10450, 10202, 10461, 10080, 10464, 10466, 10469, 10479, 10096, 10098, 10229, 10102, 10234, 10236, 10495]",32,122,Tecno,"['Anthropic', 'Wired', 'Nature', 'Business Insider', 'Statista', 'Consumer Insights', 'Dare Forward', 'Vesuvius Challenge', 'premio ‘ Vesuvius Challenge ’', 'The Olympians', 'the Olympians', 'The Lightning Thief', 'Variety', 'Star Wars', 'The Mandalorian', 'Business Email Compromise', 'Investigadores Check Point', 'Check Point Software', 'Inteligencia Check Point Research', 'Kick', 'Ninja', 'canal SSSniperWolf', 'Guest Star', 'Stream Together', 'Discovery Feed', 'BBC', 'New York Times', 'The Guardian', 'Universal Music Group', 'Universal Music Publishing Group', 'Concord Music Group', 'Will Survive', 'BandLab Technologies', 'BandLab', 'Peacock', 'Crystal Lake', 'Scream', 'New Line Cinema', 'Infobae', 'The Book of Bobba Fet', 'Bad Batch', 'Star Wars Bracket', 'Power On', 'Bloomberg', 'Pro', 'Cámara True Depth', 'Britney Spears', 'The Woman', 'Crossroads', 'Entertainment Weekly', 'Britney', 'idea continuación Crossroads', 'Spears', 'Orange Is the New Black', 'posibilidad secuela Crossroads', 'The Thing', 'Exorcist II The Heretic', 'Prince of Darkness', 'They Live', 'Legion', 'The Rocky Horror Picture Show', 'The Stand', 'The Mist', 'Storm of the Century', 'Black Mirror', 'Channel', 'Black Museum', 'Get Out', 'Resident Evil', 'Fifteen Million Merits', 'Shut Up and Dance', 'Hated the Nation', 'The Entire History of You', 'Black Widow', 'Iron Man', 'Red Guardian', 'plataforma Peacock', 'Jurassic Park', 'Spawn', 'New York Comic', 'Prime Video', 'amigos Prime Video', 'Twin Peaks', 'Disco Inferno', 'Beautiful & Twisted', 'Sleepy Hollow', 'Inferno', 'Drag Hell', 'Wikipedia', 'Jimmy Wales', 'The Wikimedia Foundation', 'The Washington Post', 'The New York Times', 'CNN', 'Fundación Wikimedia', 'Wales', 'Five Nights Freddy’s', 'Freddy Fazbear’s Pizza', 'Voice Match', 'vez configuración Voice Match', 'Killers of the Flower Moon', 'The Telegraph', 'The Irishman', 'Vision Pro', 'caso fecha lanzamiento gafas Vision Pro', 'forma experiencia Vision Pro', 'Crime Boss', 'Rockay City', 'Zombie Plane', 'Avión Zombie', 'Ice', 'The Hollywood Reporter', 'American Film Market', 'Eureka', 'Transactions Machine Learning Research', 'Shared Knowledge Lifelong Learning']",116
aspectos,"[10503, 10128, 10515, 10517, 10010, 10013, 10016, 10272, 10033, 10170, 10044, 10046, 10048, 10437, 10442, 10192, 10452, 10457, 10202, 10206, 10080, 10464, 10466, 10096, 10098, 10229, 10102, 10230, 10236, 10237, 10495]",31,68,Tecno,"['aspectos', 'través sitio', 'análisis', 'prueba LLM', 'investigadores estafadores', 'colaboración expertos ética', 'investigadores', 'equilibrio automatización', 'difusión información', 'solo través anuncios', 'Influencity', 'investigación Influencity', 'redes', 'datos informe', 'archivos audio', 'uso dispositivos', 'elementos', 'documentos nube', 'integración', 'uso ChatGPT bordo vehículos DS', 'algoritmo inteligencia', 'textos', 'enfoque fidelidad libros', 'monitorización comportamientos', 'herramientas propagación ataques', 'Inteligencia Artificial', 'ataques', 'explotación atacante', 'atacante', 'calidad transmisión', 'app', 'tecnologías', 'informe', 'informes', 'productos calidad', 'Internet', 'velocidad procesamiento', 'apps', 'centralización datos', 'aplicaciones', 'desarrolladores aplicaciones', 'plataformas', 'estudio', 'pruebas', 'aplicación', 'detector textos', 'uso casas', 'detección vulnerabilidades', 'instalación aplicaciones', 'Extracción datos', 'adquisición información', 'desarrollo', 'plataformas streaming', 'uso colores', 'gigante tecnología', 'investigación', 'sitios', 'forma variedad elementos', 'App Stores', 'clic aplicación', 'agente inteligencia', 'inteligencia', 'Control autonomía', 'sistemas', 'Desarrollo']",65
Microsoft Excel,"[10497, 10499, 10255, 10128, 10515, 10516, 10517, 10006, 10010, 10013, 10271, 10272, 10033, 10170, 10044, 10046, 10442, 10192, 10457, 10202, 10464, 10469, 10229, 10230, 10236, 10237, 10495]",27,109,Tecno,"['Microsoft Excel', 'Excel', 'Windows', 'Mac', 'Apple', 'iPhone', 'Huawei', 'Google Pixel', 'Samsung', 'modelos OpenAI', 'Google', 'OpenAI', 'Twitter', 'Elon Musk', 'Musk', 'Instagram', 'Facebook', 'YouTube', 'Snapchat', 'Pinterest', 'Android', 'Verizon', 'iOS', 'Amazon', 'MIT', 'Tesla', 'gestión Twitter', 'iCloud', 'iCloud Private Relay', 'Mail', 'Apple Mail', 'Cupertino', 'Microsoft', 'Windows Phone', 'Nokia', 'HTC', 'WhatsApp', 'Microsot', 'Xbox', 'Fitbit', 'propuesta Google', 'iMac', 'iMac M1', 'iPad', 'MacBook', 'iMac Pro', 'MacBook Pros OLED', 'HDMI', 'Appe GPT', 'intención Apple', 'Xcode', 'Keynote', 'WhatsApp Plus', 'Google Assistant', 'Assistant', 'Google Home', 'Calendario Google', 'Hola Google', 'Apple TV+', 'Appe', 'Apple Watch', 'Google Play Store', 'Z-Force', 'NVIDIA', 'GPU']",65
experto,"[10497, 10499, 10128, 10515, 10006, 10262, 10272, 10170, 10427, 10044, 10046, 10438, 10442, 10192, 10452, 10202, 10466, 10098, 10229, 10230, 10489, 10234]",22,33,Tecno,"['experto', 'empresa marketing', 'usuario', 'artista', 'compañía', 'periodista Mashable', 'representante', 'periodista', 'compañía envíos', 'documento compañía', 'empresa', 'dueño plataforma', 'empresario', 'dueño', 'compañías', 'delante cámara', 'usuario Fan Expo', 'servicio atención cliente Apple', 'directora', 'cámara', 'capacidades escritor', 'director', 'cortometraje director', 'directora políticas', 'director fotografía', 'gafas realidad', 'fotografía']",27
Escuela Politécnica Federal Zúrich,"[10499, 10503, 10128, 10516, 10517, 10013, 10016, 10033, 10044, 10046, 10437, 10447, 10192, 10450, 10452, 10080, 10466, 10096, 10229, 10102, 10495]",21,57,Tecno,"['Escuela Politécnica Federal Zúrich', 'Melbourne', 'Australia', 'Japón', 'Unión Europea', 'Comisión Europea', 'Nueva Zelanda', 'Filipinas', 'Brasil', 'México', 'República Dominicana', 'Perú', 'Argentina', 'Colombia', 'Chile', 'América Latina', 'Latinoamérica', 'Estados Unidos', 'Europa', 'Nueva lista', 'Burdeos', 'Universidad Nebraska-Lincoln', 'Roma', 'Universidad Kentucky', 'Universidad Berlín', 'España', 'Portugal', 'Miami', 'Florida', 'Kentucky', 'Reino Unido', 'China', 'Bangladés', 'Imperial College', 'Universidad Chung-Ang Corea Sur', 'Universidad Seúl', 'Corea Sur', 'Londres', 'Inglaterra', 'Capitán América', 'Buenos Aires', 'Italia', 'California', 'Universidad Pensilvania', 'Hawai', 'Walker Texas Ranger', 'Universidad Brístol']",47
programas,"[10497, 10466, 10438, 10479, 10447, 10033, 10098, 10450, 10452, 10516, 10006, 10461, 10234, 10427, 10429]",15,25,Tecno,"['programas', 'programa', 'historia', 'crónicas Spiderwick', 'ficción', 'película', 'guion', 'cinta', 'faceta historias terror', 'concepto miniserie', 'historias', 'Apocalipsis', 'historia escritor', 'episodios', 'guiños saga', 'episodio', 'sinopsis', 'borrador guion Spawn', 'películas giallo', 'películas terror', 'acuerdo sinopsis']",21
Opciones,"[10437, 10442, 10128, 10033, 10237, 10517, 10230, 10006, 10102, 10457, 10236, 10013, 10046, 10495]",14,36,Tecno,"['Opciones', 'Departamento Ciencias Computacionales', 'Modelo Lenguaje', 'Modelos Lenguaje', 'Ley Servicios Digitales', 'Almacenamiento', 'Automatización', 'Índice Global Ciberseguridad', 'Troyano Acceso Remoto', 'Global Amenazas', 'Ir Configuración > General Actualización', 'Actualizaciones', 'Configuración', 'Ajustes', 'Aplicaciones', 'Transparencia Seguimiento Aplicaciones', 'Privacidad Seguridad', 'Rastreo', 'Retransmisión Privada', 'Protección Privacidad Correo', 'Protección Privacidad', 'Recomendaciones seguridad', 'Inicio', 'Laboratorio robótica', 'Centro Robótica Avanzada', 'Accesibilidad', 'Información', 'Centro Ayuda', 'Asistente', 'Voz Asistente', 'Seguridad']",31
filas,"[10048, 10457, 10503, 10442, 10096, 10033, 10128, 10450, 10452, 10006, 10262, 10489, 10170, 10237]",14,15,Tecno,"['filas', 'medidas', 'luces', 'duración luces LED', 'imágenes trazos', 'palabras', 'novedades', 'Gracias características', 'elecciones', 'Descripción escenas', 'cuenta', 'imágenes', 'cuentas', 'cifras']",14
asistentes edición,"[10016, 10464, 10234, 10255, 10033, 10098, 10450, 10516, 10229, 10517, 10170]",11,12,Tecno,"['asistentes edición', 'contenido', 'noticia', 'anuncio', 'escrito', 'fecha', 'publicación', 'tráiler', 'comunicado', 'adelanto', 'artículo revista']",11
